Rotatable_Bonds	SMILES	Rot_Hash
0	C1CN2C(=N1)C1CC3CC(C1)CC2C3	rot0_a58c34aaf3
0	Fc1c(F)c(F)c2[nH]c3c(F)c(F)c(F)c(F)c3o[nH]c2c1F	rot0_c5d1473bc0
0	Cn1oc2c(c1=O)CSCC2	rot0_88eceb50bc
0	NC1=NC2=C(CCCC2)C2(CCCCC2)S1	rot0_5fdea74366
0	[O-][n+]1cc(C(F)(F)F)cc2[n-]c(=[OH+])c(=[OH+])[n-]c21	rot0_5fbc9eff0f
0	CC1=CC(C)(C)N(C)c2cc3nc(Cl)cc(C(F)(F)F)c3cc21	rot0_3e440a2e49
0	O=C1CCC(=C2C[C@H]3[C@@H]4CC(=O)[C@@H](C4)[C@H]3C2)CC1	rot0_8663f5b02f
0	N#CN1CCC1	rot0_ee90f3f4f1
0	Cc1cc2c3c([n+](C)c4ccc(Cl)cc4c3c1)-c1cc(Cl)ccc1N2C	rot0_1f5e2d7671
0	FC(F)(F)C1(Br)N=N1	rot0_82759d8a0f
0	N#[N+][CH-]C(F)(F)F	rot0_a504b90016
0	[N-]=C=S	rot0_e0d5cf8e0a
0	O=c1c2[nH]nnc2nc2n1CCCS2	rot0_91d1cb5d5c
0	S=C([S-])[S-]	rot0_cdc7ad8a21
0	N[C@H]1C(=O)N(O)C[C@@H]1O	rot0_d012a71afe
0	NC12CC(C(F)(F)F)=CC(Cc3[nH]c(=O)ccc31)/C2=C\C(F)(F)F	rot0_1ddb7f2e42
0	C[C@@]12CCC(=O)c3coc(c31)C(=O)c1cc3c(cc12)C(=O)C1C(=NCCS1(=O)=O)C3=O	rot0_4ed432c448
0	N#Cc1cccc(C#Cc2csc(I)n2)c1	rot0_768385f4f3
0	NC12CC3CC(CC(C3)O1)C2	rot0_3c75ee29cd
0	O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl	rot0_b6985517b1
0	O=C(O)C#CC(=O)O	rot0_505ce0521a
0	C1=CC2=CC3OCOC3=CC2=N1	rot0_a2709e3fe7
0	[O-][n+]1cnc(S)c2nc[nH]c21	rot0_917281ee85
0	IC(I)(I)I	rot0_b32223e106
0	IC(I)=C(I)I	rot0_6a61eda22f
0	NC(N=NC(N)=NCl)=NCl	rot0_95513a1b0c
0	ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl	rot0_1bd6b85ba7
0	CC#CN	rot0_6593a9407f
0	Clc1nc(Cl)c2[nH]c(Cl)nc2n1	rot0_caf3b1140c
0	FP(F)(F)(F)F	rot0_f341a2403e
0	O=[S+](=O)[O-]	rot0_9d6d77495a
0	CC1Cc2c3c(c4c(c2S(=O)(=O)O1)C1(CC1C)C4C)CC3C	rot0_1d99dcf82c
0	[O-][N+](F)(F)F	rot0_555d3a1895
0	O=[PH](F)F	rot0_4e25278ed0
0	NSN	rot0_7ed8657827
0	Ic1sc(I)c(I)c1I	rot0_be5ec8188a
0	NC1=NC(C(F)(F)F)(C(F)(F)F)NC1(C(F)(F)F)C(F)(F)F	rot0_dfe7d53102
0	BrC(Br)(Br)c1nc(C(Br)(Br)Br)nc(C(Br)(Br)Br)n1	rot0_6219d796ac
0	C1=CCc2c3c(ccc2=C1)=C1C=c2ccccc2=CC1C3	rot0_1104058c0b
0	[O-]/[N+]1=N/c2ccccc2CCc2ccccc21	rot0_9d06f4bcb6
0	ClC(Cl)=C1C(=C(Cl)Cl)C(Cl)C1Cl	rot0_6bd0043e55
0	O=c1[nH]c2c(Cl)c(Cl)cc(Cl)c2o1	rot0_a13ccc4027
0	N#CC(C#N)C#CC1CCCCC1	rot0_246b2cd45e
0	ClC1=C(Cl)C(Cl)(Cl)SS1	rot0_632d1b8913
0	C=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl	rot0_083255032e
0	ClC#CC(Cl)(Cl)C(Cl)(Cl)Cl	rot0_40e24e425d
0	IN(I)I	rot0_41f7781b6d
0	ClN(Cl)Cl	rot0_d1466f270f
0	C1OOCN2COOCN1COOC2	rot0_c8ac039a66
0	Cc1nc(C)c(C)s1	rot0_e16e1d9499
0	O=S(=O)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl	rot0_3f267b10df
0	BrP(Br)(Br)(Br)Br	rot0_b5b8994494
0	C1C2CC3CC1OP1(OOO1)(O2)O3	rot0_6f5b0ef4c2
0	O=S1(=O)C2CN3CN1CN(C2)S3(=O)=O	rot0_d07fc41a28
0	O=C1c2ccoc2C(=O)c2oc(=O)ccc21	rot0_dd6bdc3d92
0	C1=CNC2=Nc3ccccc3SC2=C1	rot0_6c455b293f
0	C1SSCSSS1	rot0_08cd0cbc96
0	BrC(Br)=C(Br)Br	rot0_430527f504
0	Fc1c(Cl)c(F)c(Cl)c(F)c1Cl	rot0_3d9e0b4695
0	SC1=CSCN1	rot0_2003e92a7a
0	Ic1[nH]c(I)c(I)c1I	rot0_fca69ef702
0	Nc1c(F)c(N)c(F)c(F)c1F	rot0_2706456718
0	O=P1(Cl)OCC2(CO1)COP(=O)(Cl)OC2	rot0_53d46e8113
0	O=C([O-])C(=O)[O-]	rot0_04206044e2
0	FC(Cl)=C(Cl)Cl	rot0_f575d9d76b
0	OC(O)(C(F)(F)F)C(F)(F)F	rot0_4a97f14f25
0	O=C1OC(=O)c2c(I)c(I)c(I)c(I)c21	rot0_6b46e7d8b9
0	CC#CC1=CC=C(C#CC#CC2CO2)SS1	rot0_3e62cd38c1
0	N#[N+]c1ccccc1	rot0_c7754b4bf1
0	C=C1C(C)(C)C2(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)C2(Cl)Cl	rot0_63c3adc34e
0	O=C1C(=O)C(Br)=C(Br)C(Br)=C1Br	rot0_b3e00e3e9e
0	O=C1C[C@@H]2OCC=C3C[N+]4([O-])CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@@H]64	rot0_d029918299
0	FC1(F)SC(F)(F)S1	rot0_e94c220dc3
0	[O-][N+]#Cc1c(Cl)cccc1Cl	rot0_5778abab56
0	N=C(NN)C(=N)NN	rot0_e16116e5e2
0	Nc1cnns1	rot0_f9d418ef92
0	N#CC1(C#N)OC1(C#N)C#N	rot0_4d8b571215
0	N=C(N)S(=O)O	rot0_f17296354c
0	Cn1c(S)nc2c(O)nnc(O)c21	rot0_ce0f5dcf1f
0	Nc1nc(N)n2c(N)nnc2n1	rot0_c5d297da17
0	Cc1nc(O)c2c(n1)CSC2	rot0_548827a6cb
0	S=C1/N=C\C=N/C(=S)SSSS1	rot0_2395118bb1
0	[N-]=[N+]=[N-]	rot0_a9dfc9a921
0	O=S(C(Br)(Br)Br)C(Br)(Br)Br	rot0_b33b32c619
0	N#Cc1nc(Cl)c(Cl)c(Cl)c1Cl	rot0_27ca4c4c07
0	SC1=NCN=N1	rot0_9228888d45
0	OC1CCCSC1	rot0_0b39b3c494
0	FC1C(F)C(F)(F)C(F)(F)C(F)C1(F)F	rot0_374f8cc3a3
0	OC1OC2OC(O)C(O)OC2OC1O	rot0_47a780a95d
0	C1=CC2N=NSC2C=C1	rot0_140e10331e
0	O=C(N=S1CCCC1)C(Cl)(Cl)Cl	rot0_d63c2deae5
0	ClC1=C(Cl)C(=C2C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl	rot0_c4c650c1b0
0	COC(=O)/N=C(/NC(=O)OC)SC	rot0_a309758a4c
0	N=C1NC(=N)/C(=C2\NC(=N)c3ccccc32)S1	rot0_84d6c48403
0	ClC1=NC(Cl)(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c21	rot0_5cb20cc9f4
0	CC1=C(C)C2(C3=CC(=O)C=CC3=Nc3ccc([O-])cc32)C(C)=C(C)C1=O	rot0_2cbf8b3fb5
0	[O-]P([O-])[O-]	rot0_bac916b029
0	O=C1OS(=O)(=O)c2c(Br)c(Br)c(Br)c(Br)c21	rot0_6c36df26ea
0	CC1CCCC2C(C)OP(=S)(Cl)OC12	rot0_0f106e0d14
0	Cc1cc(Cl)cc2c1C(=O)/C(=C1/Sc3c(Cl)cc(Cl)c(C)c3C1=O)S2	rot0_4c1fa949bc
0	C1CCCC2(CCC1)CCCO2	rot0_30944e8841
0	O=C1C(Cl)C2(Cl)C3C(Cl)OCC3C1(Cl)C2(Cl)Cl	rot0_dc4ac1007d
0	C1CC2CCCC(C1)P2	rot0_f0a3186c56
0	N=C1C=CC(=C2C=CC(=N)C=C2)C=C1	rot0_e69527914d
0	Cl[C-](Cl)Cl	rot0_a22bacc110
0	FP(=S)(Br)Br	rot0_bc008219da
0	C1=C2/CCC(=N2)/C=C2/CCC(N2)C2CCC(=N2)/C=C2/CCC/1=N2	rot0_b1d17f9045
0	CSC1=NCCCC1	rot0_ee5bec29f5
0	ClC1(Cl)SC(Cl)(Cl)S1	rot0_b2d4e82692
0	C[n+]1c2n(c(=O)c3ccccc31)CCC1c3ccccc3[N-]C21	rot0_497019a13b
