species,stoichiometry,raw_entries,proxy_structure_families,natoms_min,natoms_median,natoms_max
O-Si,0.666667;0.333333,473,473,3,12.0,144
O-Ti,0.666667;0.333333,263,263,3,6.0,24
Cd-I,0.333333;0.666667,210,210,3,27.0,45
Ag-Al,0.5;0.5,207,207,2,8.0,24
Mo-Ti,0.5;0.5,176,176,2,8.0,24
Hf-Zr,0.5;0.5,175,175,2,6.0,24
Co-Fe,0.5;0.5,172,172,2,8.0,24
Mo-Ta,0.5;0.5,172,172,2,8.0,24
O-Zr,0.666667;0.333333,169,169,3,6.0,24
Hf-Tl,0.5;0.5,166,166,2,6.0,24
Hf-Ti,0.5;0.5,166,166,2,6.0,24
Ni-V,0.5;0.5,166,166,2,8.0,24
Hf-Mg,0.5;0.5,165,165,2,6.0,24
Hf-Sc,0.5;0.5,159,159,2,6.0,24
Hf-Pb,0.5;0.5,159,159,2,6.0,24
Ge-O,0.333333;0.666667,136,136,3,9.0,12
C-Ta,0.5;0.5,136,136,2,2.0,24
Fe-Hf,0.5;0.5,135,135,2,6.0,24
Ag-Pt,0.5;0.5,134,134,2,12.0,24
O-Sn,0.666667;0.333333,131,131,3,6.0,36
C-Zr,0.5;0.5,127,127,2,2.0,24
Cd-Te,0.5;0.5,124,124,2,2.0,24
Cd-Hf,0.5;0.5,123,123,2,8.0,24
O-Zn,0.5;0.5,123,123,2,4.0,16
Fe-Se,0.5;0.5,121,119,2,4.0,24
C-Nb,0.5;0.5,119,119,2,4.0,24
Te-Zn,0.5;0.5,114,114,2,4.0,24
S-Zn,0.5;0.5,113,113,2,28.0,56
Ce-O,0.333333;0.666667,112,112,3,6.0,12
Cl-K,0.5;0.5,110,110,2,2.0,12
Pd-Pt,0.5;0.5,110,110,2,10.0,24
C-Hf,0.5;0.5,109,109,2,4.0,24
C-Ti,0.5;0.5,109,109,2,4.0,24
Hf-Mo,0.333333;0.666667,108,108,3,6.0,24
Fe-Hf,0.666667;0.333333,107,107,3,6.0,24
Cr-O,0.333333;0.666667,105,105,3,6.0,12
Ge-Mg,0.333333;0.666667,104,74,3,6.0,24
Hf-Mo,0.5;0.5,103,103,2,6.0,24
Fe-Hf,0.333333;0.666667,103,103,3,6.0,24
Mg-O,0.5;0.5,102,102,2,2.0,24
Mg-Sn,0.666667;0.333333,102,102,3,6.0,24
C-Si,0.5;0.5,101,101,2,4.0,54
Hf-Zr,0.666667;0.333333,101,101,3,6.0,24
Hf-Mo,0.666667;0.333333,100,100,3,6.0,24
C-W,0.5;0.5,100,100,2,4.0,24
Hf-Tl,0.666667;0.333333,100,100,3,6.0,24
Hf-Mg,0.666667;0.333333,99,99,3,6.0,24
Hf-Ti,0.666667;0.333333,99,99,3,6.0,24
Hf-Ti,0.333333;0.666667,99,99,3,6.0,24
Hf-Sc,0.333333;0.666667,99,99,3,6.0,24
Hf-Sc,0.666667;0.333333,98,98,3,6.0,24
Hf-Mg,0.333333;0.666667,98,98,3,6.0,24
Hf-Zr,0.333333;0.666667,98,98,3,6.0,24
Ge-Mg,0.5;0.5,97,63,2,4.0,24
B-Hf,0.666667;0.333333,97,70,3,6.0,24
Cu-Pt,0.5;0.5,97,97,2,8.0,24
S-Sn,0.5;0.5,96,96,2,4.0,24
Hf-Pb,0.666667;0.333333,96,96,3,6.0,24
Mg-Sc,0.5;0.5,95,60,2,4.0,24
Hf-Pb,0.333333;0.666667,95,95,3,6.0,24
B-Hf,0.5;0.5,95,59,2,4.0,24
Hf-Tl,0.333333;0.666667,94,94,3,6.0,24
C-V,0.5;0.5,93,93,2,4.0,24
Mg-Ti,0.5;0.5,93,59,2,4.0,24
Mg-Rh,0.5;0.5,92,58,2,4.0,24
Mg-Sn,0.5;0.5,91,50,2,4.0,24
S-Ti,0.666667;0.333333,91,91,3,6.0,24
Mo-Ta,0.625;0.375,90,90,8,8.0,16
Hg-S,0.5;0.5,90,90,2,4.0,24
Mo-Ta,0.75;0.25,90,90,4,8.0,24
Mo-Ti,0.75;0.25,90,90,4,8.0,24
Hg-Te,0.5;0.5,90,90,2,4.0,24
Co-Fe,0.375;0.625,90,90,8,8.0,16
Mo-Ta,0.25;0.75,89,89,4,8.0,24
Mo-Ti,0.375;0.625,89,89,8,8.0,16
Mo-Ta,0.375;0.625,89,89,8,8.0,16
Co-Fe,0.625;0.375,89,89,8,8.0,16
Mo-Ti,0.625;0.375,89,89,8,8.0,16
Mg-Ti,0.666667;0.333333,89,89,3,6.0,24
Ni-V,0.625;0.375,88,88,8,8.0,16
Mg-Ti,0.333333;0.666667,88,88,3,6.0,24
Fe-O,0.428571;0.571429,88,88,7,14.0,56
Hf-O,0.333333;0.666667,87,87,3,12.0,24
Mo-Ti,0.25;0.75,87,87,4,8.0,24
Ni-V,0.375;0.625,87,87,8,8.0,16
Fe-Rh,0.5;0.5,87,87,2,6.0,12
C-Mo,0.5;0.5,87,87,2,4.0,24
