formula_pretty,nelements,structure_count,nsites_min,nsites_median,nsites_max,elements
Li9Mn2Co5O16,4,726,32,32.0,32,Co Li Mn O
SiO2,2,322,3,48.0,360,O Si
Li7Mn2(CoO4)3,4,231,24,24.0,48,Co Li Mn O
Li4MnCo2O7,4,207,28,28.0,28,Co Li Mn O
CeSe2,2,175,3,18.0,102,Ce Se
ZnS,2,146,2,48.0,128,S Zn
Li7Mn4CoO12,4,145,24,24.0,48,Co Li Mn O
CdI2,2,123,3,30.0,87,Cd I
FeOF,3,117,6,36.0,54,F Fe O
MgSi2,2,117,3,12.0,24,Mg Si
Li6V3P8O29,4,91,92,92.0,92,Li O P V
Al2O3,2,89,5,100.0,100,Al O
Li3V3P8O29,4,88,86,86.0,86,Li O P V
Li7Mn5O12,3,87,24,48.0,48,Li Mn O
Mg3Si4,2,87,14,14.0,28,Mg Si
Li4V3P8O29,4,86,88,88.0,88,Li O P V
Li9Mn7O16,3,83,32,32.0,32,Li Mn O
Li5V3P8O29,4,81,90,90.0,90,Li O P V
Li3MnV(PO4)3,5,80,40,80.0,80,Li Mn O P V
Mg4Si3,2,80,7,14.0,28,Mg Si
LiMnPO4,4,79,14,28.0,168,Li Mn O P
CrN2,2,74,3,18.0,108,Cr N
LiFePO4,4,70,14,28.0,168,Fe Li O P
LiFeSiO4,4,68,14,28.0,168,Fe Li O Si
LiCoPO4,4,65,14,28.0,168,Co Li O P
Li3MnCoO5,4,65,20,20.0,20,Co Li Mn O
C,1,64,1,8.0,240,C
LiNiPO4,4,64,14,28.0,168,Li Ni O P
VO2,2,63,3,15.0,102,O V
Li9Co7O16,3,62,32,32.0,32,Co Li O
Li6MnV3(PO4)6,5,61,40,80.0,160,Li Mn O P V
Mg5Si6,2,61,11,22.0,22,Mg Si
V2O5,2,58,7,105.0,105,O V
LiFe2(BO3)2,4,56,22,44.0,44,B Fe Li O
MgFe6(OF)6,4,55,19,19.0,19,F Fe Mg O
Mg2Si3,2,55,10,20.0,20,Mg Si
MgMn6(O2F)4,4,54,19,19.0,19,F Mg Mn O
Hf2N2O,3,54,10,40.0,40,Hf N O
MgSi,2,54,2,12.0,24,Mg Si
Zr2N2O,3,50,10,40.0,40,N O Zr
LiCuPO4,4,50,7,28.0,168,Cu Li O P
Mn6O5F7,3,50,18,36.0,36,F Mn O
LiMn2(BO3)2,4,48,22,44.0,66,B Li Mn O
LiFeF4,3,48,6,24.0,48,F Fe Li
LiMnF3,3,47,10,20.0,90,F Li Mn
Li2VO2F,4,47,6,24.0,30,F Li O V
CaSnS3,3,47,5,20.0,120,Ca S Sn
Li5Mn2CoO8,4,47,16,16.0,32,Co Li Mn O
